fullID,name,registeredNumber,pricePerUnit,purchaseDate,setLocation,assetID,note
พ.7440-001-0275/57,เครื่องคอมพิวเตอร์ \ Macbook Pro Retina S/N:SC02LD08RDR55,-,0,6/27/2557,กอง 2,,ก.2 สปก.2 วรวุฒิ
พ.7440-001-0276/57,เครื่องคอมพิวเตอร์ \ Macbook Pro Retina S/N:SC02LD08UDR55,-,0,6/27/2557,กอง 2,,กอง 2 สปก.2
พ.7440-001-0277/57,เครื่องคอมพิวเตอร์ \ Macbook Pro Retina S/N:SC02LD08VDR55,-,0,6/27/2557,กอง 2,,กอง 2 สวพ. เกริกเกียรติ
พ.7440-001-0279/57,เครื่องคอมพิวเตอร์ \ Macbook Pro Retina S/N:SC02LD08WDR55,-,0,6/27/2557,กอง 2,,กอง 2 สปก.2 ศศิธร
พ.7440-001-0280/57,เครื่องคอมพิวเตอร์ \ Macbook Pro Retina S/N:SC02LD08YDR55,-,0,6/27/2557,กอง 2,,กอง 2 สวพ.นันทพงษ์
พ.7440-001-0250/58,"เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับการพิสูจน์หลักฐาน ประกอบด้วย -DVD RW (SATA) ASUS (24D3ST,Box) -SATA-III (3y) 1.TB -ATX (NP) CM NSE-300-KWN2 -2in1 USB OKER -Ps (80Plus) Seasonic M 1211 LED 21.5 SAMSUNG -CPU Cooler -DDR3 16 GB -SSD -PCle AMD R7 -CPU Core I5",-,"32,440.00",9/30/2558,กอง 2,,ก.2 สปก.1 ทินกฤต
พ.7440-001-0251/58,เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับปฏิบัติการข่าวสาร/สารสนเทศ หรือการตรวจสื่อมัลติมิเดีย ประกอบด้วย -2in1 USB OKER (KB-338)Black -DVD RW (SATA) ASUS -PS (80Plus) Seasonic S1211 620W -SATA-III -DDR3 16GB LED 21.5 Samsung -ATX(NP) CM NSE-300 KWN2 -PCle AMD R7 370/2GB -SSD -CPU Core I5,-,"29,375.00",9/30/2558,กอง 2,,ก.2 สวพ. (จำหน่าย จอ ตาม บ.สอ.ที่ ภ 196/62 ลว. 4 เม.ย.62)
พ.7440-001-0252/58,เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับปฏิบัติการข่าวสาร/สารสนเทศ หรือการตรวจสื่อมัลติมิเดีย ประกอบด้วย -2in1 USB OKER (KB-338)Black -DVD RW (SATA) ASUS -PS (80Plus) Seasonic S1211 620W -SATA-III -DDR3 16GB LED 21.5 Samsung -ATX(NP) CM NSE-300 KWN2 -PCle AMD R7 370/2GB -SSD -CPU Core I5,-,"29,375.00",9/30/2558,กอง 2,,ก.2 สปก.1 สถิต อยู่ห้องปฏิบัติการ
พ.7440-001-0253/58,เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับปฏิบัติการข่าวสาร/สารสนเทศ หรือการตรวจสื่อมัลติมิเดีย ประกอบด้วย -2in1 USB OKER (KB-338)Black -DVD RW (SATA) ASUS -PS (80Plus) Seasonic S1211 620W -SATA-III -DDR3 16GB LED 21.5 Samsung -ATX(NP) CM NSE-300 KWN2 -PCle AMD R7 370/2GB -SSD -CPU Core I5,-,"29,375.00",9/30/2558,กอง 2,,ก.2 สปก.1 สถืตย์
พ.7440-001-0254/58,เครื่องคอมพิวเตอร์ \ เครื่องคอมพิวเตอร์สำหรับปฏิบัติการข่าวสาร/สารสนเทศ หรือการตรวจสื่อมัลติมิเดีย ประกอบด้วย -2in1 USB OKER (KB-338)Black -DVD RW (SATA) ASUS -PS (80Plus) Seasonic S1211 620W -SATA-III -DDR3 16GB LED 21.5 Samsung -ATX(NP) CM NSE-300 KWN2 -PCle AMD R7 370/2GB -SSD -CPU Core I5,-,"29,375.00",9/30/2558,กอง 2,,ก.2 สปก.2 วรัญทร
